clientid,client_type,ratio,loan_type,loan_initial_term,loan_initial_amount,loan_to_value_ratio,annual_percentage_rate,monthly_interest_rate,region,branch,client_gender,income,vehicle_production_year,vehicle_initial_assessment_value,age,had_car_loan,had_other_loans
16,default,0.75,leaseback,18,1920,0.416666666666667,37.9004054716574,3.374,region 5,branch 6,male,960,1999,4608,41.0,1,0
17,default,0.722222222222222,leaseback,54,4800,0.625,38.1779766352679,3.374,,branch 3,male,0,2008,7680,26.0,0,0
18,default,0.708333333333333,leaseback,36,1920,0.444444444444444,34.9053478284979,2.6710832771,region 6,branch 2,male,648,2004,4320,41.0,0,0
19,default,0.708333333333333,leaseback,36,1680,0.291666666666667,39.4946691145578,3.374,region 10,branch 1,female,480,1999,5760,62.0,0,0
20,default,0.708333333333333,leaseback,36,4800,0.625,37.4820854469976,3.374,region 6,branch 6,male,576,1995,7680,24.0,0,0
21,default,0.666666666666667,leaseback,36,1920,0.571428571428571,35.469186361313,3.374,region 6,branch 2,male,1440,2003,3360,58.0,0,0
22,default,0.666666666666667,leaseback,18,2880,0.0618556701030928,41.1054224353479,3.374,region 6,branch 3,female,1200,2010,46560,68.0,0,0
23,default,0.666666666666667,leaseback,36,4320,0.642857142857143,36.6688490924185,3.374,,branch 3,male,0,1994,6720,33.0,0,0
24,default,0.625,leaseback,36,3840,0.761904761904762,37.8216123962911,3.374,region 6,branch 6,male,960,1998,5040,30.0,0,0
25,default,0.625,leaseback,36,4800,0.666666666666667,36.7828208064973,3.374,region 6,branch 3,female,1536,1996,7200,36.0,0,0
26,default,0.611111111111111,leaseback,54,4608,0.8,37.86396928738,3.374,region 2,branch 2,male,1200,1996,5760,61.0,0,0
27,default,0.611111111111111,leasing,54,3840,0.8,36.9512701034434,3.374,,branch 5,male,0,2005,4800,27.0,0,0
28,default,0.604166666666667,leaseback,72,3360,0.5,35.8749746900682,3.374,region 8,branch 6,female,1440,2005,6720,31.0,0,0
29,default,0.583333333333333,leaseback,36,2400,0.454545454545455,35.7944880730569,2.6710832771,region 5,branch 6,female,0,1998,5280,34.0,0,0
30,default,0.583333333333333,leaseback,54,3360,0.636363636363636,37.8235023547167,3.374,region 5,branch 6,female,960,1999,5280,37.0,0,0
31,default,0.583333333333333,leaseback,54,2400,0.208333333333333,36.5581202334535,3.374,region 1,branch 2,male,1200,2002,11520,31.0,0,0
32,default,0.583333333333333,leaseback,54,3840,0.380952380952381,37.6867589051974,3.374,region 6,branch 3,male,576,2001,10080,28.0,0,0
33,default,0.555555555555556,leasing,54,4800,0.740740740740741,36.909635147118,3.374,region 3,branch 3,male,720,2009,6480,34.0,0,1
34,default,0.55,leaseback,90,7680,0.842105263157895,36.8247934497694,3.374,region 6,branch 5,male,1344,2007,9120,33.0,0,0
35,default,0.541666666666667,leaseback,72,7200,0.625,35.7727043609401,3.374,region 6,branch 5,female,0,2002,11520,22.0,0,0
36,default,0.533333333333333,leaseback,90,4320,0.409090909090909,35.4565717721097,3.374,region 6,branch 3,male,1440,2012,10560,22.0,0,0
37,default,0.527777777777778,leasing,54,5760,0.666666666666667,36.1620903535347,3.374,region 8,branch 5,male,480,2011,8640,23.0,0,0
38,default,0.520833333333333,leaseback,72,4800,0.8,36.2395845663557,3.374,region 5,branch 5,male,960,2002,6000,35.0,0,0
39,default,0.520833333333333,leaseback,72,6240,0.792682926829268,36.5497421488447,3.374,,branch 6,female,1440,2005,7872,38.0,1,0
40,default,0.516666666666667,leaseback,90,5760,0.631578947368421,36.9276260915394,3.374,region 3,branch 3,male,960,1999,9120,28.0,0,1
41,default,0.5,leaseback,54,14400,0.75,36.6953869422413,3.374,region 6,branch 6,male,1488,2011,19200,25.0,0,0
42,default,0.5,leaseback,9,1680,0.269230769230769,47.4970339577036,3.374,region 8,branch 6,male,0,1994,6240,53.0,0,0
43,default,0.5,leaseback,36,1920,0.571428571428571,38.6818369713835,3.374,region 10,branch 3,male,1920,1999,3360,40.0,0,0
44,default,0.5,leaseback,18,2160,0.28125,39.6679982704884,2.6710832771,region 5,branch 2,male,1440,1998,7680,43.0,0,1
45,default,0.5,leaseback,36,5760,0.8,36.0575083225756,3.374,region 6,branch 5,male,960,2000,7200,33.0,0,0
46,default,0.5,leaseback,54,4800,0.555555555555556,36.4962762199259,3.374,region 9,branch 3,female,960,1996,8640,33.0,0,0
47,default,0.5,leaseback,36,3840,0.64,38.8258762529632,3.374,,branch 3,female,0,2006,6000,25.0,0,0
48,default,0.483333333333333,leaseback,90,7200,0.714285714285714,34.7543369528358,3.374,,branch 3,male,0,2006,10080,27.0,0,0
49,default,0.479166666666667,leaseback,72,5760,0.857142857142857,36.3872727136722,3.374,region 5,branch 3,male,336,1998,6720,41.0,0,0
50,default,0.472222222222222,leaseback,54,2400,0.471698113207547,36.661215103888,3.374,region 6,branch 6,male,960,1999,5088,31.0,0,0
51,default,0.472222222222222,leasing,54,6720,0.790960451977401,36.6551189029627,3.374,region 10,branch 3,male,1056,2003,8496,29.0,0,0
52,default,0.472222222222222,leasing,54,6240,0.65,36.2535821007896,3.374,,branch 5,male,720,2001,9600,35.0,0,0
53,default,0.458333333333333,leaseback,36,1920,0.666666666666667,37.9643289888074,3.374,region 8,branch 6,female,0,1995,2880,49.0,0,0
54,default,0.458333333333333,leasing,36,4800,0.714285714285714,38.3352771118305,3.374,region 8,branch 6,male,336,1996,6720,42.0,0,0
55,default,0.458333333333333,leaseback,36,2880,0.5,39.3608482985015,3.374,region 6,branch 2,male,0,2000,5760,38.0,0,0
56,default,0.45,leaseback,90,7200,0.5,36.1455799223165,3.374,region 6,branch 2,male,0,2006,14400,40.0,0,0
57,default,0.444444444444444,leaseback,54,5280,0.733333333333333,36.1744336166354,3.374,region 8,branch 6,male,1200,2000,7200,28.0,0,0
58,default,0.444444444444444,leaseback,54,4800,0.714285714285714,35.9860088932347,3.374,region 6,branch 3,male,1920,1996,6720,32.0,0,0
59,default,0.444444444444444,leaseback,54,5280,0.611111111111111,35.9712603645851,3.374,region 6,branch 3,male,624,2005,8640,25.0,0,0
60,default,0.4375,leasing,72,8400,0.795454545454545,35.592976254444,3.374,region 3,branch 5,male,0,2002,10560,35.0,0,0
61,default,0.433333333333333,leaseback,90,7200,0.5,35.1136381897955,3.374,region 2,branch 6,male,1680,2005,14400,43.0,0,0
62,default,0.416666666666667,leaseback,54,6240,0.722222222222222,36.0499755483871,3.374,region 3,branch 2,male,2400,2005,8640,41.0,0,0
63,default,0.416666666666667,leaseback,72,9120,0.791666666666667,36.4307250859846,3.374,region 6,branch 5,male,1200,2002,11520,35.0,0,0
64,default,0.416666666666667,leaseback,90,4800,0.588235294117647,36.7940609697208,3.374,region 8,branch 6,male,960,2004,8160,23.0,0,0
65,default,0.416666666666667,leaseback,36,4800,0.714285714285714,37.2011148953622,3.374,region 6,branch 3,female,1200,2004,6720,26.0,0,0
66,default,0.416666666666667,leaseback,36,7200,0.3,38.9804018326918,3.374,region 6,branch 3,female,960,2007,24000,41.0,0,0
67,default,0.416666666666667,leaseback,54,4992,0.8,35.8785753448643,3.374,,branch 5,male,1200,2003,6240,29.0,1,0
68,default,0.416666666666667,leaseback,36,13920,0.446153846153846,27.5502111913462,2.5305,,branch 6,male,2880,2015,31200,58.0,1,0
69,default,0.388888888888889,leaseback,54,2400,0.384615384615385,36.868270867112,3.374,region 7,branch 7,male,1008,1996,6240,27.0,0,0
70,default,0.388888888888889,leasing,108,8160,0.85,35.256481860393,3.374,region 2,branch 3,male,960,2000,9600,37.0,0,0
71,default,0.388888888888889,leaseback,54,2400,0.277777777777778,35.8444268849852,3.374,,branch 3,male,0,1998,8640,41.0,0,0
72,default,0.383333333333333,leaseback,90,4800,0.526315789473684,35.9609302359152,3.374,region 6,branch 5,female,1200,2002,9120,31.0,0,0
73,default,0.383333333333333,leasing,90,15360,0.744186046511628,36.7862940332697,3.374,region 6,branch 3,female,1200,2011,20640,31.0,0,0
74,default,0.375,leaseback,36,4800,0.769230769230769,37.2011148953622,3.374,region 6,branch 5,male,1440,1995,6240,34.0,0,0
75,default,0.375,leaseback,36,4800,0.666666666666667,28.8183125094825,2.5305,region 6,branch 5,male,1920,2007,7200,26.0,1,0
76,default,0.375,leaseback,36,3360,0.583333333333333,36.0510489741926,3.374,region 6,branch 5,male,864,2000,5760,25.0,0,0
77,default,0.361111111111111,leaseback,54,7200,0.545669958095712,36.134930310313,3.374,region 6,branch 3,male,1200,2004,13195,25.0,0,0
78,default,0.333333333333333,leaseback,54,6912,0.8,34.2554542539864,3.374,region 6,branch 5,female,0,2000,8640,31.0,0,0
79,default,0.333333333333333,leaseback,54,3456,0.75,37.4986225907605,3.374,region 5,branch 6,male,720,2003,4608,25.0,0,0
80,default,0.333333333333333,leaseback,54,3840,0.8,37.7930201623705,3.374,region 5,branch 5,male,0,1996,4800,28.0,0,0
81,default,0.333333333333333,leaseback,90,19200,0.8,35.1377800204564,3.374,region 6,branch 5,male,1200,2006,24000,40.0,0,0
82,default,0.333333333333333,leaseback,90,3360,0.666666666666667,36.9240342462691,3.374,region 6,branch 3,male,1920,1997,5040,60.0,0,0
83,default,0.333333333333333,leaseback,36,1920,0.5,38.250021307789,3.374,region 6,branch 2,male,0,1998,3840,37.0,0,1
84,default,0.333333333333333,leaseback,54,8400,0.795454545454545,37.7836877139881,3.374,region 6,branch 3,male,1200,2002,10560,63.0,0,0
85,default,0.333333333333333,leaseback,54,2880,0.315789473684211,36.9166781267404,3.374,region 6,branch 3,male,1440,2005,9120,26.0,0,0
86,default,0.333333333333333,leaseback,54,24000,0.384615384615385,36.9843712017558,3.374,region 8,branch 3,female,4800,2003,62400,29.0,0,0
87,default,0.333333333333333,leaseback,54,5760,0.5,36.7782127865833,3.374,,branch 3,male,1440,2006,11520,47.0,1,0
88,default,0.333333333333333,leaseback,36,7200,0.517241379310345,37.9729901446924,3.374,,branch 6,female,0,2006,13920,29.0,0,0
89,default,0.333333333333333,leaseback,54,8880,0.770833333333333,36.2162272004469,3.374,,branch 3,male,1080,2011,11520,25.0,0,0
90,default,0.3125,leaseback,72,5760,0.8,35.1317591959893,3.374,region 5,branch 5,female,0,1996,7200,34.0,0,0
91,default,0.3125,leasing,72,6000,0.78125,36.1275575341144,3.374,region 3,branch 5,male,1200,1996,7680,39.0,0,0
92,default,0.3125,leaseback,72,4800,0.5,36.8403700267599,3.374,region 8,branch 3,male,960,2006,9600,40.0,0,0
93,default,0.305555555555556,leasing,54,7200,0.833333333333333,36.8541939681369,3.374,region 6,branch 2,male,0,2007,8640,27.0,0,0
94,default,0.305555555555556,leaseback,54,9600,0.5,37.0344450825222,3.374,region 6,branch 3,male,1440,2003,19200,39.0,0,0
95,default,0.305555555555556,leaseback,54,3600,0.535714285714286,36.2436886857973,3.374,region 6,branch 3,male,1440,1998,6720,25.0,0,0
96,default,0.3,leaseback,90,10080,0.721649484536082,34.5903261642579,3.374,region 6,branch 3,male,960,2002,13968,32.0,0,0
97,default,0.283333333333333,leasing,90,5760,0.8,36.6968293387955,3.374,region 9,branch 4,male,864,1995,7200,26.0,0,0
98,default,0.283333333333333,leaseback,90,16800,0.636363636363636,35.7274278110611,3.374,region 6,branch 3,male,2160,2012,26400,31.0,0,0
99,default,0.283333333333333,leaseback,90,8160,0.566666666666667,35.1045605188281,3.374,region 6,branch 3,male,1200,2004,14400,60.0,0,0
100,default,0.283333333333333,leaseback,90,6480,0.794117647058823,36.2297168817919,3.374,,branch 5,male,0,2003,8160,26.0,0,0
101,default,0.277777777777778,leaseback,54,4560,0.59375,35.7923652759769,3.374,region 6,branch 6,female,1440,2008,7680,38.0,0,0
102,default,0.277777777777778,leaseback,54,6000,0.806451612903226,37.8226849762241,3.374,region 6,branch 5,male,874,2006,7440,45.0,0,0
103,default,0.277777777777778,leaseback,54,7200,0.5,36.8541939681369,3.374,,branch 3,male,0,2004,14400,41.0,0,0
104,default,0.270833333333333,leaseback,72,5760,0.648648648648649,36.3019787594013,3.374,region 2,branch 3,male,1680,1997,8880,62.0,0,0
105,default,0.266666666666667,leaseback,90,28800,1.2,36.1605756006657,3.374,region 6,branch 3,male,4800,2011,24000,42.0,0,0
106,default,0.266666666666667,leasing,90,12480,0.490566037735849,35.8875532688512,3.374,region 6,branch 3,male,1440,2008,25440,62.0,0,0
107,default,0.266666666666667,leaseback,90,6720,0.636363636363636,35.9268416921808,3.374,region 6,branch 3,male,1920,1998,10560,32.0,0,0
108,default,0.266666666666667,leasing,90,10080,0.726531775571248,36.1226876206645,3.374,,branch 3,male,0,2009,13874,25.0,0,0
109,default,0.25,leaseback,108,7680,0.551724137931034,35.394346108687,3.374,region 4,branch 3,male,538,2005,13920,25.0,0,0
110,default,0.25,leaseback,54,6720,0.7,34.1620176686485,3.374,region 2,branch 2,male,0,2005,9600,36.0,0,0
111,default,0.25,leaseback,90,5280,0.55,35.0693746166882,3.374,region 6,branch 5,male,1440,1997,9600,46.0,0,0
112,default,0.25,leaseback,36,1680,0.583333333333333,37.0577870091583,3.374,region 5,branch 5,female,0,1996,2880,27.0,0,0
113,default,0.25,leaseback,36,4800,0.2,36.7828208064973,3.374,region 6,branch 5,male,960,2015,24000,28.0,0,0
114,default,0.25,leaseback,36,5760,0.125,37.5854670214321,3.374,region 6,branch 5,male,672,2010,46080,72.0,0,0
115,default,0.25,leaseback,36,14400,0.576923076923077,37.7550240643989,3.374,region 5,branch 3,male,2400,2004,24960,36.0,0,0
116,default,0.229166666666667,leaseback,72,9600,0.8,36.7710561438014,3.374,region 6,branch 3,female,864,2006,12000,27.0,1,0
117,default,0.229166666666667,leaseback,72,4800,0.476190476190476,35.4008760850984,3.374,region 6,branch 3,male,1440,1998,10080,39.0,0,0
118,default,0.222222222222222,leasing,108,4272,0.809090909090909,35.4479641094677,3.374,region 6,branch 6,female,0,1999,5280,33.0,0,0
119,default,0.222222222222222,leaseback,54,3840,0.533333333333333,35.4228113321043,3.374,region 3,branch 3,male,1440,2002,7200,37.0,0,0
120,default,0.222222222222222,leaseback,54,5280,0.611111111111111,37.52303052354,3.374,region 6,branch 3,male,0,2001,8640,49.0,0,0
121,default,0.222222222222222,leaseback,54,3840,0.571428571428571,37.7930201623705,3.374,region 6,branch 3,male,1440,2003,6720,42.0,0,0
122,default,0.216666666666667,leaseback,90,5760,0.75,35.4240314451517,3.374,region 6,branch 3,male,0,2001,7680,26.0,0,0
123,default,0.216666666666667,leaseback,90,5760,0.5,36.0905579075691,3.374,region 3,branch 5,male,0,2006,11520,25.0,0,0
124,default,0.216666666666667,leasing,90,16320,0.839506172839506,37.0931346686811,3.374,region 2,branch 3,female,1440,2005,19440,28.0,0,0
125,default,0.216666666666667,leaseback,90,3840,0.470588235294118,36.979240256198,3.374,region 6,branch 3,male,720,1999,8160,57.0,0,0
126,default,0.216666666666667,leaseback,90,5280,0.802919708029197,35.2142029680018,3.374,,branch 3,male,0,2005,6576,34.0,0,0
127,default,0.208333333333333,leasing,72,7680,0.761904761904762,36.6158356981512,3.374,region 6,branch 5,male,528,2001,10080,23.0,0,1
128,default,0.208333333333333,leaseback,72,2880,0.6,35.1590685119401,3.374,region 6,branch 5,male,864,1998,4800,43.0,0,0
129,default,0.2,leaseback,90,4320,0.642857142857143,36.1990726116775,3.374,region 2,branch 2,male,1440,1995,6720,38.0,0,0
130,default,0.194444444444444,leaseback,54,12000,0.625,37.2267584147404,3.374,region 6,branch 2,male,1440,2001,19200,33.0,0,0
131,default,0.194444444444444,leasing,54,3840,0.8,38.3288774819241,3.374,region 6,branch 5,male,1440,1998,4800,57.0,0,0
132,default,0.194444444444444,leaseback,108,7680,0.842105263157895,36.9168282123278,3.374,region 6,branch 3,male,1920,2007,9120,53.0,0,0
133,default,0.166666666666667,leaseback,54,5280,0.578947368421053,35.1696797957499,3.374,region 6,branch 2,female,720,1999,9120,30.0,0,0
134,default,0.166666666666667,leaseback,54,4320,0.818181818181818,27.8177781039846,2.5305,region 6,branch 5,male,809,2000,5280,36.0,1,0
135,default,0.166666666666667,leaseback,90,4080,0.5,35.1002755783314,3.374,region 9,branch 4,male,1200,2000,8160,71.0,0,0
136,default,0.166666666666667,leaseback,54,4320,0.75,36.6175138762217,3.374,region 6,branch 5,male,960,2000,5760,30.0,0,0
137,default,0.166666666666667,leasing,54,8640,0.782608695652174,37.8874972962578,3.374,region 7,branch 7,male,960,2000,11040,30.0,0,0
138,default,0.166666666666667,leasing,54,5760,0.888888888888889,36.8819061115596,3.374,region 7,branch 7,male,1200,1996,6480,38.0,0,0
139,default,0.166666666666667,leasing,90,6240,0.8125,36.1579113174535,3.374,region 6,branch 3,male,720,2003,7680,32.0,0,0
140,default,0.166666666666667,leaseback,90,11040,0.821428571428571,35.7450752302472,3.374,region 6,branch 3,female,2880,2004,13440,40.0,0,0
141,default,0.166666666666667,leaseback,36,3840,0.533333333333333,36.5613165929188,3.374,region 6,branch 2,male,5760,2006,7200,30.0,0,0
142,default,0.166666666666667,leaseback,36,4800,0.526315789473684,37.0612637903889,3.374,region 6,branch 5,male,0,1999,9120,35.0,0,0
143,default,0.166666666666667,leasing,36,5280,0.785714285714286,35.6658575271606,3.374,region 5,branch 2,male,0,2004,6720,40.0,0,0
144,default,0.166666666666667,leaseback,27,1920,0.210526315789474,37.6251102150575,3.374,region 6,branch 6,female,0,1997,9120,60.0,0,0
145,default,0.166666666666667,leaseback,54,5760,0.8,35.1576824235857,3.374,region 3,branch 3,female,720,1999,7200,42.0,0,0
146,default,0.166666666666667,leasing,54,3840,0.740253749732236,36.2300713123331,3.374,region 10,branch 3,male,960,2003,5187,26.0,0,0
147,default,0.166666666666667,leasing,54,5760,0.666666666666667,35.4561094672899,3.374,region 3,branch 3,male,960,2004,8640,57.0,0,0
148,default,0.166666666666667,leaseback,54,13440,0.8,37.2195617595228,3.374,,branch 6,male,5760,2012,16800,36.0,0,0
149,default,0.15,leaseback,90,2400,0.12987012987013,35.7824568012134,3.374,region 9,branch 4,male,1440,2011,18480,39.0,0,0
150,default,0.142857142857143,leasing,126,4560,0.791666666666667,36.5549611417611,3.374,region 8,branch 6,male,1920,1999,5760,29.0,0,0
151,default,0.142857142857143,leasing,126,10080,0.792452830188679,35.7104708672845,3.374,region 7,branch 6,female,312,2000,12720,37.0,0,0
152,default,0.138888888888889,leaseback,54,2400,0.454545454545455,36.4553124221322,3.374,region 6,branch 5,female,720,2005,5280,27.0,0,0
153,default,0.138888888888889,leaseback,54,1680,0.5,36.3909130953071,3.374,region 7,branch 7,male,797,1994,3360,41.0,0,0
154,default,0.138888888888889,leaseback,54,8832,0.8,32.7437475521849,2.6710832771,region 2,branch 5,male,3840,2003,11040,39.0,0,0
155,default,0.138888888888889,leaseback,54,5280,0.785714285714286,36.9985209996953,3.374,region 6,branch 5,male,0,1999,6720,58.0,0,0
156,default,0.138888888888889,leasing,54,7200,0.789473684210526,36.0333158212662,3.374,region 5,branch 5,male,960,2003,9120,24.0,1,0
157,default,0.133333333333333,leaseback,90,9984,0.8,34.238390857275,3.374,region 8,branch 2,female,1200,2007,12480,42.0,0,0
158,default,0.133333333333333,leaseback,90,5760,0.8,35.3509625879804,3.374,region 6,branch 3,male,1200,2000,7200,24.0,0,0
159,default,0.133333333333333,leaseback,90,7200,0.625,35.3315199893598,3.374,,branch 3,male,0,2007,11520,36.0,0,0
160,default,0.133333333333333,leaseback,90,8640,0.782608695652174,35.8335504394268,3.374,,branch 3,male,221,2000,11040,30.0,1,0
161,default,0.133333333333333,leaseback,90,11040,0.766666666666667,36.3437261265448,3.374,,branch 2,female,0,2004,14400,55.0,0,0
162,default,0.125,leaseback,72,3840,0.666666666666667,35.8509665861772,3.374,region 3,branch 5,male,1536,1998,5760,30.0,0,0
163,default,0.125,leaseback,72,8640,0.9,28.7589784490107,2.5305,region 6,branch 5,female,1200,1999,9600,62.0,1,0
164,default,0.125,leaseback,72,6720,0.636363636363636,35.2805455827078,3.374,region 6,branch 5,male,960,2007,10560,59.0,0,0
165,default,0.125,leasing,72,5280,0.611111111111111,36.4831811468773,3.374,region 6,branch 3,male,1200,1999,8640,46.0,1,0
166,default,0.125,leaseback,72,7200,0.882352941176471,36.1094925778097,3.374,region 6,branch 3,female,1440,2004,8160,61.0,0,0
167,default,0.125,leaseback,108,5280,0.785714285714286,35.559713020032,3.374,region 5,branch 3,male,624,2000,6720,30.0,0,0
168,default,0.125,leaseback,36,9600,0.689655172413793,38.2203518569218,3.374,region 6,branch 5,male,960,2011,13920,30.0,1,0
169,default,0.125,leaseback,36,1920,0.555555555555556,35.8757628970907,3.374,region 7,branch 7,male,720,2004,3456,54.0,0,0
170,default,0.125,leaseback,36,4800,0.769230769230769,34.4819388669443,3.374,,branch 2,male,0,2006,6240,38.0,0,0
171,default,0.116666666666667,leaseback,90,24000,0.555555555555556,32.8214899129852,2.6710832771,region 9,branch 4,male,720,2011,43200,51.0,1,1
172,default,0.116666666666667,leaseback,90,14400,0.75,35.9559381012733,3.374,region 6,branch 6,male,14400,2010,19200,31.0,0,0
173,default,0.116666666666667,leaseback,90,11520,0.8,35.1570830055779,3.374,,branch 3,male,0,2001,14400,,1,0
174,default,0.111111111111111,leaseback,54,4800,0.4,32.2933228393497,2.6710832771,region 6,branch 5,male,864,2007,12000,27.0,0,1
175,default,0.111111111111111,leaseback,54,14400,0.697674418604651,35.9792196505868,3.374,region 6,branch 6,male,2400,2007,20640,33.0,0,0
176,default,0.111111111111111,leaseback,54,4224,0.8,37.0364726738832,3.374,region 5,branch 5,male,720,1998,5280,28.0,0,0
177,default,0.111111111111111,leaseback,54,4800,0.5,35.1840973008145,3.374,region 2,branch 5,female,960,1998,9600,68.0,0,0
178,default,0.104166666666667,leaseback,72,5760,0.75,35.2138954707742,3.374,region 5,branch 5,male,960,1998,7680,46.0,0,0
179,default,0.104166666666667,leaseback,72,6480,0.794117647058823,35.9506265300634,3.374,region 6,branch 5,male,0,1998,8160,52.0,0,0
180,default,0.1,leasing,90,4800,0.666666666666667,35.5903750091031,3.374,region 3,branch 6,male,720,1999,7200,24.0,0,0
181,default,0.0833333333333333,leaseback,54,5280,0.785714285714286,34.9720170344292,3.374,region 6,branch 2,male,1680,2000,6720,51.0,0,0
182,default,0.0833333333333333,leaseback,72,4080,0.772727272727273,34.8499459036349,3.374,region 5,branch 6,male,2400,1999,5280,34.0,0,0
183,default,0.0833333333333333,leaseback,72,5760,0.8,36.4727993486503,3.374,region 6,branch 5,male,0,2004,7200,26.0,0,0
184,default,0.0833333333333333,leaseback,108,8160,0.787037037037037,36.1400316902164,3.374,region 6,branch 3,female,830,2001,10368,37.0,0,0
185,default,0.0714285714285714,leaseback,126,1680,0.25,36.3488780923794,3.374,region 10,branch 1,male,499,1996,6720,24.0,0,0
186,default,0.0666666666666667,leaseback,90,4080,0.53125,36.6623352703847,3.374,region 6,branch 5,male,720,2005,7680,29.0,0,0
187,default,0.0625,leaseback,72,10560,0.415094339622642,28.4992296312798,2.5305,region 6,branch 5,male,0,2005,25440,24.0,1,1
188,default,0.0625,leaseback,72,4800,0.588235294117647,36.2395845663557,3.374,region 9,branch 4,male,0,2003,8160,43.0,0,0
189,default,0.0555555555555556,leaseback,54,1680,0.583333333333333,36.6996959736254,3.374,region 7,branch 7,male,1200,1994,2880,46.0,0,0
190,default,0.0555555555555556,leaseback,27,1680,0.318181818181818,35.9832731732632,3.374,region 9,branch 4,male,480,1996,5280,24.0,0,0
191,default,0.05,leaseback,90,9600,0.714285714285714,28.8188350614209,2.5305,region 6,branch 6,male,1440,2010,13440,30.0,1,0
192,default,0.05,leaseback,90,2880,0.6,36.4933428689953,3.374,region 2,branch 5,male,1200,1999,4800,29.0,0,0
193,default,0.05,leasing,90,9600,0.714285714285714,36.2007028722845,3.374,region 5,branch 5,male,0,2006,13440,54.0,0,0
194,default,0.0476190476190476,leaseback,126,13440,0.233333333333333,35.9562650287522,3.374,region 3,branch 6,female,0,2014,57600,32.0,0,0
195,default,0.0416666666666667,leaseback,108,15360,0.8,36.040524378444,3.374,region 5,branch 5,male,3840,2008,19200,48.0,0,0
196,default,0.0416666666666667,leaseback,36,2400,0.333333333333333,38.2784397427433,3.374,region 8,branch 5,male,720,1995,7200,34.0,0,0
197,default,0.0333333333333333,leaseback,90,7200,0.789473684210526,36.5236945210267,3.374,region 6,branch 6,male,1680,2006,9120,36.0,0,1
198,default,0.0277777777777778,leasing,108,4800,0.769230769230769,36.9597020859508,3.374,region 9,branch 4,male,960,1995,6240,43.0,0,0
199,default,0.0277777777777778,leaseback,54,2400,0.714285714285714,28.5420215209046,2.5305,region 10,branch 1,male,2880,1999,3360,48.0,1,0
200,default,0.0277777777777778,leaseback,54,2880,0.545454545454545,35.6899187597564,3.374,region 3,branch 5,male,0,1999,5280,33.0,0,0
201,default,0.0277777777777778,leaseback,54,5760,0.705882352941177,36.8819061115596,3.374,region 6,branch 6,male,1440,2008,8160,26.0,1,0
202,default,0.0277777777777778,leaseback,54,9600,0.689655172413793,35.7033241658998,3.374,region 5,branch 6,male,1728,2012,13920,35.0,0,0
203,default,0.025,leaseback,180,11520,0.8,29.7751178367599,2.6710832771,region 5,branch 6,male,2400,2006,14400,31.0,1,0
204,default,0.0238095238095238,leaseback,126,3840,0.8,29.0891428922335,2.5305,region 3,branch 2,male,1200,1998,4800,30.0,1,1
205,default,0.0208333333333333,leaseback,72,13440,0.56,29.9459682230836,2.5305,region 5,branch 6,male,0,2000,24000,46.0,1,0
